"Idcode","exposure_type","expCONC","expCONC_Oral","expCONC_Dermal","Tinput","tinterval","expSTOP","expAGE","expBW","sex","Tstart","Tstop","Dt","log_expCONC_Oral","log_expCONC_Dermal"
25,"Oral",9.33571940766706e-05,9.33571940766706e-05,0,1,1,17266.5794121089,47.3056970194763,65.7742313294649,"M",0,20916.5794121089,1,-9.27907762531477,-Inf
26,"Oral_Dermal",0.000202389256043009,0.000196359420239224,6.02983580378588e-06,1,1,17221.3761222634,47.1818523897627,58.5973585515187,"F",0,20871.3761222634,1,-8.53556380131889,-12.0187907774822
27,"Oral",7.37370588350052e-05,7.37370588350052e-05,0,1,1,12981.3474013733,35.5653353462281,57.0628470996746,"F",0,16631.3474013733,1,-9.51500505156527,-Inf
28,"Oral_Dermal",0.00486711576588185,3.95523123143603e-05,0.00482756345356749,1,1,18315.0056525824,50.1780976783079,64.0530123092911,"F",0,21965.0056525824,1,-10.1378863998627,-5.33341339956
29,"Oral_Dermal",6.36029443182413e-05,5.18476033999751e-05,1.17553409182662e-05,1,1,25897.6636662527,70.952503195213,54.9918591977916,"M",0,29547.6636662527,1,-9.86720184615111,-11.3512028744135
30,"Oral",3.60732261983541e-05,3.60732261983541e-05,0,1,1,25089.3170972989,68.7378550610929,70.1585569306556,"M",0,28739.3170972989,1,-10.229959624344,-Inf
31,"Oral_Dermal",5.72597766783482e-05,5.00887542691325e-05,7.17102240921569e-06,1,1,22807.6398761556,62.486684592207,75.4016956769222,"M",0,26457.6398761556,1,-9.90171404075562,-11.8454623180909
32,"Oral",0.000105585259242096,0.000105585259242096,0,1,1,15262.134780657,41.8140678922108,54.527080329543,"M",0,18912.134780657,1,-9.15599178694623,-Inf
33,"Oral_Dermal",0.0046921587463648,0.000120817909067307,0.0045713408372975,1,1,16559.2558290173,45.3678241890884,78.4965292992844,"F",0,20209.2558290173,1,-9.02122602958364,-5.38794871726306
34,"Oral_Dermal",0.000181038723382024,0.000172916639529309,8.1220838527149e-06,1,1,12095.6259814143,33.1387013189432,78.9601318433245,"M",0,15745.6259814143,1,-8.66270093202642,-11.7209238046073
35,"Oral_Dermal",0.00455128853467755,0.000118079166319491,0.00443320936835806,1,1,23548.3428335295,64.5160077630945,71.3869099680973,"M",0,27198.3428335295,1,-9.04415525743945,-5.41863149483798
36,"Oral",5.54177784551239e-05,5.54177784551239e-05,0,1,1,14011.2607413467,38.3870157297171,53.8067167763386,"F",0,17661.2607413467,1,-9.80061010494957,-Inf
37,"Oral_Dermal",0.000217342206908089,0.00020246507439565,1.48771325124394e-05,1,1,20048.5968139062,54.9276625038527,75.483979230144,"M",0,23698.5968139062,1,-8.50494315841295,-11.1156852546272
38,"Oral_Dermal",5.34096433950296e-05,4.76489676626257e-05,5.7606757324039e-06,1,1,8065.04610196489,22.096016717712,71.9528215381125,"M",0,11715.0461019649,1,-9.95164959310136,-12.0644557754838
39,"Oral",0.000223256130703844,0.000223256130703844,0,1,1,19000.8444575014,52.0571081027436,61.9350200523653,"M",0,22650.8444575014,1,-8.40719087742528,-Inf
40,"Oral_Dermal",0.00620373895073929,4.54480170403998e-05,0.00615829093369889,1,1,18548.1231688098,50.8167758049583,68.9137576479287,"F",0,22198.1231688098,1,-9.99894136776673,-5.08995598576003
41,"Oral_Dermal",0.00437358292288805,8.0863140353146e-05,0.00429271978253491,1,1,21867.4934819949,59.9109410465613,67.4905337614769,"F",0,25517.4934819949,1,-9.42275245758832,-5.450834764981
42,"Oral",0.000220555142709671,0.000220555142709671,0,1,1,16976.532812499,46.5110488013672,86.9934666853318,"M",0,20626.532812499,1,-8.41936281402628,-Inf
43,"Oral",0.000139863096490552,0.000139863096490552,0,1,1,17062.9524025604,46.7478148015353,66.5570120373503,"M",0,20712.9524025604,1,-8.87484649600405,-Inf
44,"Oral_Dermal",0.000106728693827809,9.552511681727e-05,1.12035770105391e-05,1,1,10911.386245605,29.8942088920684,70.6777206140422,"M",0,14561.386245605,1,-9.2561213417347,-11.3992774547119
45,"Oral_Dermal",8.38397268840116e-05,7.42539502637156e-05,9.58577662029602e-06,1,1,24533.6173394079,67.2153899709806,63.4943027314594,"F",0,28183.6173394079,1,-9.50801957949173,-11.5552301602006
46,"Oral_Dermal",0.000144548307995442,0.000133956614979548,1.05916930158938e-05,1,1,14163.4067302071,38.8038540553618,65.1236148479692,"F",0,17813.4067302071,1,-8.91799457924714,-11.4554405418281
47,"Oral_Dermal",0.00364140022051003,3.50155806567603e-05,0.00360638463985327,1,1,15795.3540520399,43.2749426083286,73.0315123725766,"F",0,19445.3540520399,1,-10.2597174339082,-5.62504949326352
48,"Oral_Dermal",0.000100009142761846,7.25796594619387e-05,2.74294832999071e-05,1,1,10196.4034490082,27.9353519150909,67.5802598037075,"F",0,13846.4034490082,1,-9.5308258480898,-10.5038920902353
49,"Oral",0.000105410665579801,0.000105410665579801,0,1,1,15391.7964790636,42.1693054220922,65.182664324981,"M",0,19041.7964790636,1,-9.15764673551731,-Inf
50,"Oral",0.000205803661722112,0.000205803661722112,0,1,1,17654.16271899,48.3675690931233,60.0819713574327,"F",0,21304.16271899,1,-8.48858794209816,-Inf
51,"Oral_Dermal",0.00397820369203816,0.000157366165732854,0.00382083752630531,1,1,18380.2794246658,50.3569299305913,67.1935086119557,"F",0,22030.2794246658,1,-8.75693520231215,-5.56728563267102
52,"Oral_Dermal",0.00514968693810698,6.52525866720551e-05,0.00508443435143492,1,1,25614.2309871296,70.1759753072044,76.3301734418017,"M",0,29264.2309871296,1,-9.63724487006361,-5.28157149432496
53,"Oral",0.000173330022994264,0.000173330022994264,0,1,1,14689.0160938683,40.2438797092281,57.6018165689214,"M",0,18339.0160938683,1,-8.6603131333493,-Inf
54,"Oral_Dermal",0.00646382035816701,7.91391668807376e-05,0.00638468119128627,1,1,16899.3343383838,46.2995461325585,87.6431406899432,"M",0,20549.3343383838,1,-9.44430264922013,-5.05385372163126
55,"Oral",8.80891951482e-05,8.80891951482e-05,0,1,1,22575.0465637574,61.8494426404311,69.7632011184699,"M",0,26225.0465637574,1,-9.33716067558314,-Inf
56,"Oral",3.52561044015592e-05,3.52561044015592e-05,0,1,1,10656.8342207306,29.1968060841935,71.9992048382743,"M",0,14306.8342207306,1,-10.2528718691867,-Inf
57,"Oral",0.000161369593401636,0.000161369593401636,0,1,1,18732.5633937698,51.3220914897803,83.4719277764001,"M",0,22382.5633937698,1,-8.73181321267933,-Inf
58,"Oral",8.62299782191158e-05,8.62299782191158e-05,0,1,1,22594.3493861506,61.9023270853441,70.360734877997,"F",0,26244.3493861506,1,-9.35849266559064,-Inf
59,"Oral_Dermal",0.00665147181763271,0.000115859074482194,0.00653561274315051,1,1,16699.7793218766,45.7528200599358,78.2458113056673,"M",0,20349.7793218766,1,-9.06313598057046,-5.03048917300375
60,"Oral_Dermal",0.00383048279789259,0.00017260947992239,0.0036578733179702,1,1,14169.0202749283,38.8192336299406,52.9732814839398,"F",0,17819.0202749283,1,-8.66447885659153,-5.61087336111391
61,"Oral_Dermal",8.6858626122189e-05,7.83457423860722e-05,8.51288373611682e-06,1,1,9574.04468177629,26.2302594021268,74.8095015526768,"M",0,13224.0446817763,1,-9.45437893159509,-11.673929808372
62,"Oral",8.07042026994301e-05,8.07042026994301e-05,0,1,1,8124.79331621444,22.259707715656,94.8355008932625,"F",0,11774.7933162144,1,-9.42471990598453,-Inf
63,"Oral_Dermal",8.75583232950342e-05,7.19718218545939e-05,1.55865014404403e-05,1,1,26629.5529941658,72.9576794360707,74.013649875056,"F",0,30279.5529941658,1,-9.5392358786814,-11.0691053105697
64,"Oral_Dermal",0.00422795962618272,3.41731711576654e-05,0.00419378645502506,1,1,21549.8119711992,59.0405807430115,72.1517717074704,"F",0,25199.8119711992,1,-10.2840696908267,-5.47415126457862
65,"Oral_Dermal",0.000188227415161838,0.000174269556981829,1.39578581800083e-05,1,1,19030.7396575361,52.1390127603729,51.842876470972,"M",0,22680.7396575361,1,-8.6549072794317,-11.1794678979018
66,"Oral",9.95186329953884e-05,9.95186329953884e-05,0,1,1,18393.7641221596,50.3938743072864,60.8826057576712,"F",0,22043.7641221596,1,-9.21516566504656,-Inf
67,"Oral",8.88622612723767e-05,8.88622612723767e-05,0,1,1,9426.81581620383,25.8268926471338,69.5095530914638,"F",0,13076.8158162038,1,-9.32842301319559,-Inf
68,"Oral_Dermal",0.00575998924878123,0.000227118519524636,0.00553287072925659,1,1,16477.4593371263,45.1437242113048,65.9461252331819,"F",0,20127.4593371263,1,-8.39003856429282,-5.19704847892909
69,"Oral_Dermal",5.2105412310541e-05,4.10614150371097e-05,1.10439972734313e-05,1,1,19461.389780959,53.3188761122164,81.3038179784685,"M",0,23111.389780959,1,-10.1004416843002,-11.4136235107788
70,"Oral_Dermal",7.50801988129876e-05,5.48200962291111e-05,2.02601025838765e-05,1,1,17403.4723312783,47.6807461130912,78.1546473507257,"F",0,21053.4723312783,1,-9.81145371172614,-10.8068569957865
71,"Oral_Dermal",6.85344509646328e-05,6.10804302026419e-05,7.45402076199091e-06,1,1,19581.2109447441,53.6471532732716,70.7641751904814,"M",0,23231.2109447441,1,-9.70331903437339,-11.8067569715622
72,"Oral",7.5925539382628e-05,7.5925539382628e-05,0,1,1,12203.5791080022,33.4344633095951,84.5374735124973,"M",0,15853.5791080022,1,-9.48575744290718,-Inf
73,"Oral_Dermal",0.000103304956757628,9.53680946881079e-05,7.93686206952056e-06,1,1,27432.1822703723,75.1566637544446,73.7412108343626,"M",0,31082.1822703723,1,-9.25776647267821,-11.7439925661695
74,"Oral_Dermal",0.0037342352981476,0.000111783811889078,0.00362245148625852,1,1,19187.43318488,52.5683100955617,68.2909594424743,"M",0,22837.43318488,1,-9.09894380299476,-5.62060427619631
75,"Oral",0.000143052544567743,0.000143052544567743,0,1,1,24092.3680355028,66.0064877685008,64.9778718814949,"M",0,27742.3680355028,1,-8.8522985506659,-Inf
76,"Oral",0.00021638258025079,0.00021638258025079,0,1,1,17549.432517856,48.0806370352218,75.4352210794063,"M",0,21199.432517856,1,-8.43846251214894,-Inf
77,"Oral",0.000105962934970807,0.000105962934970807,0,1,1,12183.9552399156,33.3806992874399,64.9481399714838,"M",0,15833.9552399156,1,-9.15242119508777,-Inf
78,"Oral_Dermal",0.000123027774619759,0.00011629414073073,6.73363388902905e-06,1,1,16807.467348992,46.0478557506631,77.8679578940201,"F",0,20457.467348992,1,-9.05938788035601,-11.9083956062369
79,"Oral_Dermal",0.0035741575469604,0.000141073679894322,0.00343308386706607,1,1,18386.1636078004,50.3730509802751,73.0094940160844,"M",0,22036.1636078004,1,-8.86622825162709,-5.67429633513237
80,"Oral_Dermal",6.98107405575613e-05,5.86229382113065e-05,1.11878023462548e-05,1,1,8592.63940239943,23.541477814793,83.1022390674737,"F",0,12242.6394023994,1,-9.74438450091979,-11.4006864493649
81,"Oral_Dermal",0.00523504834179119,0.000132238673869773,0.00510280966792141,1,1,9188.42325172865,25.1737623335031,77.9843377027211,"F",0,12838.4232517286,1,-8.93090213270979,-5.27796397567126
82,"Oral",4.49639059594653e-05,4.49639059594653e-05,0,1,1,24201.0345075905,66.3042041303849,78.5086043761443,"M",0,27851.0345075905,1,-10.0096504798297,-Inf
83,"Oral",0.000121463285126985,0.000121463285126985,0,1,1,11724.7889383264,32.1227094200723,65.5643203190531,"M",0,15374.7889383264,1,-9.01589852087407,-Inf
84,"Oral_Dermal",0.00332108998913253,9.83370466877144e-05,0.00322275294244481,1,1,8501.03460449883,23.2905057657502,65.5322521239042,"M",0,12151.0346044988,1,-9.22710972807966,-5.7375193336185
85,"Oral_Dermal",0.000103687476904527,9.2537203173573e-05,1.11502737309543e-05,1,1,17633.1432505498,48.3099815083556,70.1330504177615,"M",0,21283.1432505498,1,-9.28789979783416,-11.4040465104981
86,"Oral_Dermal",0.00013627359423968,0.000128622430465924,7.65116377375613e-06,1,1,11104.8867415731,30.4243472371866,55.6385429377293,"F",0,14754.8867415731,1,-8.95862934095091,-11.7806527944076
87,"Oral_Dermal",0.000117025833381686,0.000108002574445851,9.02325893583507e-06,1,1,25683.5159953726,70.3657972475962,63.707403527372,"F",0,29333.5159953726,1,-9.13335549366258,-11.6157049880529
88,"Oral",7.52981054269414e-05,7.52981054269414e-05,0,1,1,10586.108338059,29.0030365426275,72.4352176562534,"M",0,14236.108338059,1,-9.49405558380774,-Inf
89,"Oral_Dermal",0.000115545702101415,0.000103025455579532,1.2520246521883e-05,1,1,10067.3568543426,27.5817996009387,80.5836223334598,"M",0,13717.3568543426,1,-9.18053445872022,-11.2881635022399
90,"Oral_Dermal",0.000116051111628496,0.000101602766473659,1.44483451548373e-05,1,1,15095.9916061791,41.3588811128193,78.3134881791503,"F",0,18745.9916061791,1,-9.19443979411915,-11.1449306721206
91,"Oral",6.22966951241617e-05,6.22966951241617e-05,0,1,1,7539.67726693177,20.6566500463884,71.0521181595233,"M",0,11189.6772669318,1,-9.68360218134421,-Inf
92,"Oral_Dermal",0.00420244535912213,0.000100691982353138,0.00410175337676899,1,1,16182.7414396338,44.336277916805,52.5828690554265,"M",0,19832.7414396338,1,-9.2034443805442,-5.49634074381882
93,"Oral_Dermal",0.00749341615109756,0.000235064921592213,0.00725835122950535,1,1,14642.4366129101,40.1162646929043,76.4524699376523,"M",0,18292.4366129101,1,-8.35564881987894,-4.92560257931123
94,"Oral",7.85858795786575e-05,7.85858795786575e-05,0,1,1,10935.1372082621,29.9592800226358,70.9710422467608,"M",0,14585.1372082621,1,-9.45131852379444,-Inf
95,"Oral_Dermal",0.00280421632951598,7.79396183052852e-05,0.0027262767112107,1,1,12163.9566869346,33.3259087313278,69.2326630546182,"M",0,15813.9566869346,1,-9.45957615535483,-5.90481844271167
96,"Oral_Dermal",0.00421936348388391,0.000117678516012027,0.00410168496787188,1,1,22389.7002932419,61.3416446390188,79.9195067770175,"M",0,26039.7002932419,1,-9.04755409211747,-5.49635742192237
97,"Oral_Dermal",0.00407560908531892,0.000116201344361308,0.00395940774095762,1,1,11417.0177301628,31.2795006305829,61.407492387509,"M",0,15067.0177301628,1,-9.06018614423897,-5.53166082526525
98,"Oral",5.2308778312368e-05,5.2308778312368e-05,0,1,1,15628.1513677795,42.8168530624095,67.184203116756,"F",0,19278.1513677795,1,-9.85834635561709,-Inf
99,"Oral_Dermal",0.00386198875485366,0.000156432050730956,0.00370555670412271,1,1,20775.3014522759,56.9186341158244,90.6624727069071,"M",0,24425.3014522759,1,-8.76288882290063,-5.59792177399862
100,"Oral_Dermal",0.000135839000715436,0.000124426052627982,1.14129480874539e-05,1,1,21092.7936650418,57.788475794635,63.884470221833,"M",0,24742.7936650418,1,-8.99179897331586,-11.3807620499483
