Parameter,Abbreviation,Units,Initial_value,Std,CV,Distribution,Uncertainty_Variability,Binf,Bsup,Mean,sdlog,zscore,Reference,Comment
Fractional volume of kidney,VKc,NA,4.20E-03,NA,0.1,LogNormal,Medium,3.78E-03,4.62E-03,4.20E-03,9.98E-02,4.00E+00,ICRP 89,sdlog taken from Hsieh et al. 2018 doi: 10.3389/fphar.2018.00588
Fractional volume of  proximal tubule,VPTc,NA,3.98E-01,NA,0.1,LogNormal,Medium,3.58E-01,4.38E-01,3.98E-01,9.98E-02,4.00E+00,Calculated based on Pletz et al. 2020 https://doi.org/10.1016/j.comtox.2021.100172,sdlog proportional to the one from fractional volume of kidney
Fractional volume of proximal tubule tissue,VPTTc,NA,5.39E-01,NA,0.1,LogNormal,Medium,4.85E-01,5.92E-01,5.39E-01,9.98E-02,4.00E+00,Calculated based on Pletz et al. 2020 https://doi.org/10.1016/j.comtox.2021.100173,sdlog proportional to the one from fractional volume of kidney
Fractional volume of proximal tubule lumen,VPTLc,NA,4.03E-01,NA,0.1,LogNormal,Medium,3.63E-01,4.43E-01,4.03E-01,9.98E-02,4.00E+00,Calculated based on Pletz et al. 2020 https://doi.org/10.1016/j.comtox.2021.100174,sdlog proportional to the one from fractional volume of kidney
Fractional volume of rest of kidney lumen,VRKLc,NA,2.83E-01,NA,0.1,LogNormal,Medium,2.55E-01,3.11E-01,2.83E-01,9.98E-02,4.00E+00,Calculated based on Pletz et al. 2020 https://doi.org/10.1016/j.comtox.2021.100175,sdlog proportional to the one from fractional volume of kidney
Fractional volume of adipose,VAc,NA,2.47E-01,NA,0.1,LogNormal,Low,2.23E-01,2.72E-01,2.47E-01,9.98E-02,2.00E+00,ICRP 89,sdlog taken from Hsieh et al. 2018 doi: 10.3389/fphar.2018.00588
Adipose mass,MAc,NA,1.03E+01,NA,0.1,LogNormal,Low,9.23E+00,1.13E+01,1.03E+01,9.98E-02,2.00E+00,ICRP 89,sdlog taken from Hsieh et al. 2018 doi: 10.3389/fphar.2018.00588
Fractional volume of plasma,VPc,NA,7.61E-02,NA,0.1,LogNormal,Medium,6.85E-02,8.37E-02,7.61E-02,9.98E-02,4.00E+00,ICRP 89,sdlog taken from Hsieh et al. 2018 doi: 10.3389/fphar.2018.00588
Fractional blood flow to the skin,QSkc,NA,5.20E-02,NA,0.1,LogNormal,Low,4.68E-02,5.72E-02,5.20E-02,9.98E-02,2.00E+00,ICRP 89,sdlog assumed the same as the sdlog of muscle in Hsieh et al. 2018 doi: 10.3389/fphar.2018.00588
Fractional blood flow to the gut,QIc,NA,1.44E-01,NA,0.1,LogNormal,Low,1.30E-01,1.58E-01,1.44E-01,9.98E-02,2.00E+00,ICRP 89,sdlog taken from Hsieh et al. 2018 doi: 10.3389/fphar.2018.00588
Fractional blood flow to the liver,QLc,NA,6.50E-02,NA,0.1,LogNormal,Low,5.85E-02,7.15E-02,6.50E-02,9.98E-02,2.00E+00,ICRP 89,sdlog taken from Hsieh et al. 2018 doi: 10.3389/fphar.2018.00588
Fractional blood flow to the kidney,QKc,NA,1.96E-01,NA,0.1,LogNormal,Medium,1.76E-01,2.16E-01,1.96E-01,9.98E-02,4.00E+00,ICRP 89,sdlog taken from Hsieh et al. 2018 doi: 10.3389/fphar.2018.00588
Fractional blood flow to the adipose,QAc,NA,6.43E-02,NA,0.1,LogNormal,Low,5.79E-02,7.07E-02,6.43E-02,9.98E-02,2.00E+00,ICRP 89,sdlog taken from Hsieh et al. 2018 doi: 10.3389/fphar.2018.00588
Fractional urine flow rate,QUrc,NA,2.20E-02,NA,0.1,LogNormal,Medium,1.98E-02,2.42E-02,2.20E-02,9.98E-02,3.00E+00,ICRP 89,sdlog assumed the same as for GFR
Fractional glomerular filtration rate,GFRc,NA,1.80E-01,NA,0.1,LogNormal,High,1.49E-01,2.11E-01,1.80E-01,9.98E-02,5.00E+00,ICRP 89,sdlog calculated based on the CV from Chen et al. 2025 https://doi.org/10.1016/j.ecoenv.2025.118083
Tubular fluid flow rate,QT,L/day,6.22E+01,NA,0.1,LogNormal,High,4.32E+01,1.20E+02,6.22E+01,9.98E-02,5.00E+00,Scotcher et al. 2016 https://doi.org/10.1016/j.ejps.2016.03.018  Pletz et al. 2020 https://doi.org/10.1016/j.comtox.2021.100175,sdlog calculated based on the upper and lower bounds from Scotcher et al. 2016
Colonic transit time,tco,/day,3.36E+00,NA,0.1,LogNormal,Medium,3.02E+00,3.70E+00,3.36E+00,9.98E-02,3.00E+00,Willmann 2004 10.1021/jm030999b,sdlog assumed the same as that of gastric emptying time and GI perfusion time from Hsieh et al. 2018 doi: 10.3389/fphar.2018.00588
Plasma to proximal tubule lumen albumin concentration ratio,R_PTL,NA,2.57E+03,1.95E+04,0.07,LogNormal,Medium,1.00E+00,2.88E+03,2.57E+03,6.99E-02,3.00E+00,Calculated based on albumin concentrations in the proximal tubule lumen from Tojo and Satoshi  2012 doi:10.1155/2012/481520,sdlog calculated based on the CV of plasma protein concentration from Chen et al. 2025 https://doi.org/10.1016/j.ecoenv.2025.118083
Plasma to liver albumin concentration ratio,R_L_ic,NA,1.16E+01,NA,0.07,LogNormal,Medium,1.02E+01,1.30E+01,1.16E+01,6.99E-02,3.00E+00,Utsey et al. 2020 https://doi.org/10.1124/dmd.120.090498,sdlog calculated based on the CV of plasma protein concentration from Chen et al. 2025 https://doi.org/10.1016/j.ecoenv.2025.118083
PFOA Fraction unbound in plasma,fup,NA,6.10E-04,8.00E-04,1.31,LogNormal,Medium,6.10E-05,2.00E-03,6.10E-04,1.00E+00,4.00E+00,Fischer et al. 2024 DOI: 10.1021/acs.est.3c07415. Experimentally derived fup ranges from 0.00061 to 0.00245. Given the high binding affinity of PFOA to plasma proteins most of the conventional methods could be under-predicting the fraction unbound. It was considered that the SPME method and results were the most accurate. (References: Ryu et al. 2024 https://doi.org/10.3390/toxics12040253 Smeltz et al. 2023 doi:10.1021/acs.chemrestox.3c00003. Fischer et al. 2024 DOI: 10.1021/acs.est.3c07415),sdlog calculated based on the calculated CV from the different literature values 
PFOA Acid dissociation constant,pKa,NA,1.89E+00,1.16E+00,0.62,LogNormal,Medium,1.00E+00,3.90E+00,1.89E+00,5.66E-01,3.00E+00,https://pfas-1.itrcweb.org Table 4-1 excel file pKa sheet,sdlog calculated based on the CV
PFOA Partition coefficient to the skin,PSkc,NA,2.17E+02,NA,NA,Uniform,Medium,1.95E+02,2.39E+02,NA,NA,NA,Calculated based on PFOA equilibrium distribution to tissue constituents from Allendorf et al. 2021 DOI: 10.1002/etc.4954. ,Upper and lower bounds calculated based on a CV 0f 10%
PFOA Partition coefficient to the intestine,PIc,NA,6.28E+01,NA,NA,Uniform,Medium,5.65E+01,6.91E+01,NA,NA,NA,Calculated based on PFOA equilibrium distribution to tissue constituents from Allendorf et al. 2021 DOI: 10.1002/etc.4954. ,Upper and lower bounds calculated based on a CV 0f 10%
PFOA Partition coefficient to the liver,PLc,NA,1.34E+02,NA,NA,Uniform,Medium,1.20E+02,1.47E+02,NA,NA,NA,Calculated based on PFOA equilibrium distribution to tissue constituents from Allendorf et al. 2021 DOI: 10.1002/etc.4954. ,Upper and lower bounds calculated based on a CV 0f 10%
PFOA Partition coefficient to the kidney,PKc,NA,1.58E+02,NA,NA,Uniform,Medium,1.42E+02,1.74E+02,NA,NA,NA,Calculated based on PFOA equilibrium distribution to tissue constituents from Allendorf et al. 2021 DOI: 10.1002/etc.4954. ,Upper and lower bounds calculated based on a CV 0f 10%
PFOA Partition coefficient to the adipose,PAc,NA,1.80E+02,NA,NA,Uniform,Medium,1.62E+02,1.98E+02,NA,NA,NA,Calculated based on PFOA equilibrium distribution to tissue constituents from Allendorf et al. 2021 DOI: 10.1002/etc.4954. ,Upper and lower bounds calculated based on a CV 0f 10%
PFOA Partition coefficient to the rest compartment,PRc,NA,6.09E+01,NA,NA,Uniform,Medium,5.48E+01,6.70E+01,NA,NA,NA,Calculated based on PFOA equilibrium distribution to tissue constituents from Allendorf et al. 2021 DOI: 10.1002/etc.4954. ,Upper and lower bounds calculated based on a CV 0f 10%
PFOA Apparent permeability from the small intestine,Papp_SI,cm/s,7.31E-06,4.30E-07,5.88E-02,LogNormal,Medium,6.57E-06,8.05E-06,7.31E-06,5.88E-02,4.00E+00,Janssen et al. 2024 https://doi.org/10.1007/s00204-024-03851-x,sdlog calculated based on the CV 
PFOA OATP1B1 Transporter maximum velocity,Vmax_OATP1B1c,umol/min/mg protein,2.31E-06,2.95E-07,0.13,Uniform,Medium,1.79E-06,2.82E-06,NA,NA,NA,Lin 2023 https://doi.org/10.1021/acs.est.2c05642,Upper and lower bounds calculated based on CV
PFOA OATP1B1 Transporter affinity,Km_OATP1B1c,ug/L,5.27E+01,2.33E+01,0.44,LogNormal,Medium,1.23E+01,9.30E+01,5.27E+01,4.23E-01,3.00E+00,Lin 2023 https://doi.org/10.1021/acs.est.2c05643,sdlog calculated based on the CV 
PFOA OATP1B3 Transporter maximum velocity,Vmax_OATP1B3c,umol/min/mg protein,2.69E-06,4.70E-07,0.17,Uniform,Medium,1.88E-06,3.51E-06,NA,NA,NA,Lin 2023 https://doi.org/10.1021/acs.est.2c05644,Upper and lower bounds calculated based on CV
PFOA OATP1B3 Transporter affinity,Km_OATP1B3c,ug/L,9.16E+01,4.77E+01,0.52,LogNormal,Medium,8.98E+00,1.74E+02,9.16E+01,4.90E-01,3.00E+00,Lin 2023 https://doi.org/10.1021/acs.est.2c05645,sdlog calculated based on the CV 
OATP1B1 IVIVE Scaling factor,SF_OATP1B1,NA,3.00E+06,NA,NA,Uniform,High,1.00E+00,3.30E+06,NA,NA,NA,Calculated based on OATP1B1 REF,Lowest bound assumed to be 1
OATP1B3 IVIVE Scaling factor,SF_OATP1B3,NA,2.50E+05,NA,NA,Uniform,High,1.00E+00,2.75E+05,NA,NA,NA,Calculated based on OATP1B3 REF,Lowest bound assumed to be 2
PFOA BSEP Transporter maximum velocity,VmaxBSEPc,umol/min/mg BSEP,7.10E+00,1.28E+00,0.18,Uniform,High,4.89E+00,9.31E+00,NA,NA,NA,Calculated based on OATP1B REF,Upper and lower bounds calculated based on CV
PFOA BSEP Transporter affinity,KmBSEPc,ug/L,1.64E+01,1.10E+01,0.67,LogNormal,Medium,1.00E+00,3.55E+01,1.64E+01,6.11E-01,3.00E+00,De Bruijn et al 2024 https://doi.org/10.14573/altex.2302012,sdlog calculated based on the CV from Chen et al. 2025 https://doi.org/10.1016/j.ecoenv.2025.118083
BSEP IVIVE Scaling factor,SF_BSEP,NA,1.16E+01,NA,NA,Uniform,High,1.00E+00,1.28E+01,NA,NA,NA,De Bruijn et al 2024 https://doi.org/10.14573/altex.2302013,Lowest bound assumed to be 1
PFOA OAT4 Tranposter maximum velocity,Vmax_OAT4c,umol/min/mg protein,4.50E-03,5.00E-04,0.11,Uniform,High,3.63E-03,5.37E-03,NA,NA,NA,Louisse et al. 2024 doi.org/10.1016/j.tox.2024.153961,Upper and lower bounds calculated based on CV
PFOA OAT4 Transporter affinity,Km_OAT4c,ug/L,4.70E+01,1.50E+01,0.32,LogNormal,Medium,2.10E+01,7.30E+01,4.70E+01,2.05E-01,3.00E+00,Louisse et al. 2024 doi.org/10.1016/j.tox.2024.153961,NA
OAT IVIVE Scaling factor,SF_OAT,NA,9.52E+04,NA,NA,Uniform,High,1.00E+00,1.05E+05,NA,NA,NA,Calculated based on OAT Relative expression factor,
Time to stop the exposure,EXP_STOP,day,1.83E+04,NA,NA,Uniform,Low,1.64E+04,2.01E+04,NA,NA,NA,NA,NA
Oral concentration ,COral,ug/kg/day,4.80E-02,NA,NA,Uniform,Low,1.29E-03,2.29E-01,NA,NA,NA,EFSA 2020,Upper and lower limits taken from table 22 page 148
